ANXA2P2	NR_003573
ANXA2P3	NR_001446
ANXA2R	NM_001014279
ANXA3	NM_005139
ANXA4	NM_001153
ANXA5	NM_001154
ANXA6	NM_001155
ANXA7	NM_004034
ANXA8	NM_001040084
ANXA8L1	NM_001098845
ANXA9	NM_003568
AOAH	NM_001177506
AOAH-IT1	NR_046764
AOC1	NM_001272072
AOC2	NM_009590
AOC3	NM_003734
AOC4P	NR_002773
AOX1	NM_001159
AOX3P-AOX2P	NR_135011
AP1AR	NM_018569
AP1B1	NM_001127
AP1B1P1	NR_040114
AP1G1	NM_001128
AP1G2	NM_003917
AP1M1	NM_001130524
AP1M2	NM_005498
AP1S1	NM_001283
AP1S2	NM_001272071
AP1S3	NM_001039569
AP2A1	NM_014203
AP2A2	NM_001242837
AP2B1	NM_001030006
AP2M1	NM_001025205
AP2S1	NM_004069
AP3B1	NM_003664
AP3B2	NM_004644
AP3D1	NM_001261826
AP3M1	NM_012095
AP3M2	NM_006803
AP3S1	NM_001284
AP3S2	NM_005829
AP4B1	NM_001253852
AP4B1-AS1	NR_037864
AP4E1	NM_007347
AP4M1	NM_004722
AP4S1	NM_007077
AP5B1	NM_138368
AP5M1	NM_018229
AP5S1	NM_001204447
AP5Z1	NM_014855
APAF1	NM_181861
APBA1	NM_001163
APBA2	NM_005503
APBA3	NM_004886
APBB1	NM_001257326
APBB1IP	NM_019043
APBB2	NM_004307
APBB3	NM_133172
APC	NM_000038
APC2	NM_005883
APCDD1	NM_153000
APCDD1L	NM_153360
APCDD1L-AS1	NR_034147
APCS	NM_001639
APEH	NM_001640
APELA	NM_001297550
APEX1	NM_001244249
APEX2	NM_014481
APH1A	NM_001077628
APH1B	NM_031301
API5	NM_001142930
APIP	NM_015957
APITD1-CORT	NM_199006
APLF	NM_173545
APLN	NM_017413
APLNR	NM_005161
APLP1	NM_001024807
APLP2	NM_001243299
APMAP	NM_020531
APOA1	NM_000039
APOA1-AS	NR_126362
APOA2	NM_001643
APOA4	NM_000482
